Player,Pos,Ht_in,Wt,Birth Date,Colleges
Greg Anthony,G,72,176.0,1967-11-15,University of Portland UNLV
Joel Anthony,C,81,245.0,1982-08-09,UNLV
Pero Anti?,C-F,83,260.0,1982-07-29,
OG Anunoby,F,79,232.0,1997-07-17,Indiana
Keith Appling,G,73,185.0,1992-02-13,Michigan State
Rafael Araújo,C,83,280.0,1980-08-12,BYU
Stacey Arceneaux,F,76,210.0,1936-02-17,Iowa State
Robert Archibald,F,83,250.0,1980-03-29,Illinois
Tiny Archibald*,G,73,150.0,1948-09-02,Texas-El Paso
Ryan Arcidiacono,G,75,195.0,1994-03-26,Villanova
Jim Ard,F-C,80,215.0,1948-09-19,Cincinnati
Gilbert Arenas,G,76,191.0,1982-01-06,Arizona
Trevor Ariza,F,80,215.0,1985-06-30,UCLA
Paul Arizin*,F-G,76,190.0,1928-04-09,Villanova
Joe Arlauckas,F,81,230.0,1965-07-20,Niagara University
B.J. Armstrong,G,74,175.0,1967-09-09,Iowa
Bob Armstrong,C-F,80,220.0,1933-06-17,Michigan State
Brandon Armstrong,G,77,188.0,1980-06-16,Pepperdine
Curly Armstrong,G-F,71,170.0,1918-11-01,Indiana
Darrell Armstrong,G,72,170.0,1968-06-22,Fayetteville State University
Hilton Armstrong,F-C,83,235.0,1984-11-11,UConn
Tate Armstrong,G,75,175.0,1955-10-05,Duke
Jesse Arnelle,F,77,220.0,1933-12-30,Penn State
Jay Arnette,G,74,175.0,1938-12-19,Texas
Bob Arnzen,F,77,205.0,1947-11-03,Notre Dame
Carlos Arroyo,G,74,202.0,1979-07-30,Florida International University
Darrell Arthur,F,81,235.0,1988-03-25,Kansas
John Arthurs,G,76,185.0,1947-08-15,Tulane
Jamel Artis,G-F,79,213.0,1993-01-12,Pitt
Ömer A??k,C,84,255.0,1986-07-04,
Vincent Askew,G-F,78,210.0,1966-02-28,Memphis
Keith Askins,G-F,79,197.0,1967-12-15,Alabama
Don Asmonga,G,74,185.0,1928-02-15,Alliance College
Dick Atha,G,74,190.0,1931-09-21,Indiana State University
Chucky Atkins,G,71,160.0,1974-08-14,South Florida
Al Attles*,G,72,175.0,1936-11-07,North Carolina A&T
Chet Aubuchon,G,70,137.0,1916-05-18,Michigan State
Stacey Augmon,F-G,80,205.0,1968-08-01,UNLV
D.J. Augustin,G,71,183.0,1987-11-10,Texas
James Augustine,F,82,235.0,1984-02-27,Illinois
Isaac Austin,C,82,255.0,1969-08-18,Arizona State
Johnny Austin,G,72,170.0,1944-08-31,Boston College
Ken Austin,F,81,205.0,1961-07-15,Rice University
Deni Avdija,G-F,81,210.0,2001-01-03,
Anthony Avent,F,81,235.0,1969-10-18,Seton Hall
Bird Averitt,G,73,170.0,1952-07-22,Pepperdine
William Avery,G,74,197.0,1979-08-08,Duke
Dennis Awtrey,C,82,235.0,1948-02-22,Santa Clara
Joel Ayayi,G,77,180.0,2000-03-05,Gonzaga
Gustavo Ayón,C,82,250.0,1985-04-01,
Jeff Ayres,F,81,240.0,1987-04-29,Arizona State
Deandre Ayton,C,83,250.0,1998-07-23,Arizona
Kelenna Azubuike,G,77,220.0,1983-12-16,Kentucky
Udoka Azubuike,C,82,280.0,1999-09-17,Kansas
Chris Babb,G,77,225.0,1990-02-14,Penn State Iowa State
Luke Babbitt,F,81,225.0,1989-06-20,Nevada
Miloš Babi?,C-F,84,240.0,1968-11-23,Tennessee Technological University
Johnny Bach,F-G,74,180.0,1924-07-10,Fordham
Dwayne Bacon,G,78,221.0,1995-08-30,Florida State
Henry Bacon,G,75,205.0,1948-07-05,Louisville
Jim Baechtold,F-G,76,205.0,1927-12-09,Eastern Kentucky University
Dalibor Bagari?,C,85,255.0,1980-02-07,
John Bagley,G,72,185.0,1960-04-23,Boston College
Marvin Bagley III,F-C,83,235.0,1999-03-14,Duke
Carl Bailey,C,84,210.0,1958-04-23,Tuskegee University
Gus Bailey,G-F,77,185.0,1951-02-18,Texas-El Paso
James Bailey,F-C,81,220.0,1957-05-21,Rutgers University
Thurl Bailey,F-C,83,215.0,1961-04-07,NC State
Toby Bailey,G,78,213.0,1975-11-19,UCLA
Cameron Bairstow,F-C,81,250.0,1990-12-07,New Mexico
Jimmie Baker,F,81,220.0,1953-12-25,Hawaii
Mark Baker,G,73,175.0,1969-11-11,Ohio State
Maurice Baker,G,73,175.0,1979-07-28,Oklahoma State
Norm Baker,G,72,180.0,1923-02-17,
Ron Baker,G,76,220.0,1993-03-30,Wichita State
Vin Baker,F,83,232.0,1971-11-23,University of Hartford
Wade Baldwin,G,76,200.0,1996-03-29,Vanderbilt
Renaldo Balkman,F,80,208.0,1984-07-14,South Carolina
Cedric Ball,F,80,210.0,1968-04-16,UNC Charlotte
LaMelo Ball,G,79,180.0,2001-08-22,
Lonzo Ball,G,78,190.0,1997-10-27,UCLA
Greg Ballard,F,79,215.0,1955-01-29,Oregon
Herschel Baltimore,F,76,195.0,1921-06-21,Penn State
Mo Bamba,C,84,231.0,1998-05-12,Texas
Desmond Bane,G,77,215.0,1998-06-25,TCU
Gene Banks,F-G,79,215.0,1959-05-15,Duke
Marcus Banks,G,74,200.0,1981-11-19,UNLV
Walker Banks,C,82,205.0,1947-08-26,Western Kentucky
Ken Bannister,F-C,81,235.0,1960-04-01,Indiana State University Saint Augustine's College
Mike Bantom,F-C,81,200.0,1951-12-03,Saint Joseph's
Dalano Banton,G-F,81,204.0,1999-11-07,Nebraska
Cat Barber,G,74,190.0,1994-07-25,NC State
John Barber,F,78,210.0,1927-06-27,California State University Los Angeles
Leandro Barbosa,G,75,194.0,1982-11-28,
Steve Bardo,G,77,190.0,1968-04-05,Illinois
J.J. Barea,G,70,180.0,1984-06-26,Northeastern University
Andrea Bargnani,F-C,84,245.0,1985-10-26,
Cliff Barker,G,74,185.0,1921-01-15,Kentucky
Tom Barker,C-F,83,225.0,1955-03-11,Hawaii
Charles Barkley*,F,78,252.0,1963-02-20,Auburn
Erick Barkley,G,73,177.0,1978-02-21,St. John's
Don Barksdale*,F-C,78,200.0,1923-03-31,UCLA
Harrison Barnes,F,80,225.0,1992-05-30,UNC
Harry Barnes,F,75,205.0,1945-07-25,Northeastern University
Jim Barnes,C-F,80,210.0,1941-04-13,Texas-El Paso
Marvin Barnes,F-C,80,210.0,1952-07-27,Providence
Matt Barnes,F,79,226.0,1980-03-09,UCLA
Scottie Barnes,G-F,81,227.0,2001-08-01,Florida State
Dick Barnett,G-F,76,190.0,1936-10-02,Tennessee State
Jim Barnett,G-F,76,170.0,1944-07-07,Oregon
Nathaniel Barnett,G,75,175.0,1953-01-29,University of Akron
John Barnhill,G,73,180.0,1938-03-20,Tennessee State
Norton Barnhill,G,76,205.0,1953-07-15,Washington State
Leo Barnhorst,F-G,76,190.0,1924-05-11,Notre Dame
John Barr,F,75,205.0,1918-08-18,Penn State
Mike Barr,G,75,180.0,1950-10-19,Duquesne
Moe Barr,G,76,195.0,1944-06-19,Duquesne
Andre Barrett,G,70,172.0,1982-02-21,Seton Hall
Ernie Barrett,G-F,75,180.0,1929-08-27,Kansas State
Mike Barrett,G,74,155.0,1943-09-05,West Virginia Tech
RJ Barrett,G-F,78,214.0,2000-06-14,Duke
Earl Barron,C,84,250.0,1981-08-14,Memphis
Dana Barros,G,71,163.0,1967-04-13,Boston College
Brent Barry,G,78,185.0,1971-12-31,Oregon State
Drew Barry,G,77,191.0,1973-02-17,Georgia Tech
Jon Barry,G,76,195.0,1969-07-25,University of the Pacific Georgia Tech
Rick Barry*,F,79,205.0,1944-03-28,Miami (FL)
Ed Bartels,F,77,195.0,1925-10-08,NC State
Vic Bartolome,C,84,230.0,1948-09-29,Oregon State
Will Barton,G,78,181.0,1991-01-06,Memphis
Eddie Basden,G,77,215.0,1983-02-15,UNC Charlotte
Jerry Baskerville,F,79,190.0,1951-11-10,Temple
Brandon Bass,F,80,250.0,1985-04-30,LSU
Paris Bass,F,80,200.0,1995-08-29,Detroit Mercy
Tim Bassett,F-C,80,225.0,1951-04-01,Georgia
Charles Bassey,C,83,235.0,2000-10-28,Western Kentucky
Maceo Baston,F,81,215.0,1975-05-29,Michigan
Mengke Bateer,C,83,290.0,1975-11-20,
Billy Ray Bates,G,76,210.0,1956-05-31,Kentucky State University
Keita Bates-Diop,F,80,229.0,1996-01-23,Ohio State
Esteban Batista,F-C,82,270.0,1983-09-02,
Mike Batiste,F,80,225.0,1977-11-21,Arizona State
Tony Battie,C-F,83,230.0,1976-02-11,Texas Tech
Shane Battier,F,80,220.0,1978-09-09,Duke
John Battle,G,74,175.0,1962-11-09,Rutgers University
Kenny Battle,F,78,210.0,1964-10-10,Northern Illinois Illinois
Dave Batton,C,82,240.0,1956-03-26,Notre Dame
Lloyd Batts,G-F,76,185.0,1951-05-09,Cincinnati
Nicolas Batum,F-G,80,230.0,1988-12-14,
Johnny Baum,F,77,200.0,1946-06-17,Temple
Frankie Baumholtz,G,70,170.0,1918-10-07,Ohio University
Lonny Baxter,F,80,260.0,1979-01-27,Maryland
Jerryd Bayless,G,75,200.0,1988-08-20,Arizona
Elgin Baylor*,F,77,225.0,1934-09-16,College of Idaho Seattle University
Howard Bayne,F,78,235.0,1942-07-28,Tennessee
Aron Baynes,C,82,260.0,1986-12-09,Washington State
Sergei Bazarevich,G,74,168.0,1965-03-16,
Kent Bazemore,G-F,76,195.0,1989-07-01,Old Dominion
Darius Bazley,F,80,208.0,2000-06-12,
Ed Beach,F,75,200.0,1929-01-25,West Virginia
Bradley Beal,G,76,207.0,1993-06-28,Florida
Al Beard,C,81,200.0,1942-04-27,Norfolk State
Butch Beard,G,75,185.0,1947-05-04,Louisville
Ralph Beard,G,70,175.0,1927-12-02,Kentucky
Charles Beasley,G-F,77,190.0,1945-09-23,SMU
Jerome Beasley,F,82,237.0,1980-05-17,Midland College University of North Dakota
John Beasley,F-C,81,225.0,1944-02-05,Texas A&M
Malik Beasley,G,76,187.0,1996-11-26,Florida State
Michael Beasley,F,81,235.0,1989-01-09,Kansas State
Zelmo Beaty*,C,81,225.0,1939-10-25,Prairie View A&M University
Rodrigue Beaubois,G,72,170.0,1988-02-24,
Byron Beck,C-F,81,225.0,1945-01-25,Denver
Corey Beck,G,73,190.0,1971-05-27,South Plains College Arkansas
Ernie Beck,G-F,76,190.0,1931-12-11,Penn
Arthur Becker,F,79,205.0,1942-01-12,Arizona State
Moe Becker,G-F,73,185.0,1917-02-24,Duquesne
Bob Bedell,F,79,205.0,1944-06-26,Stanford
William Bedford,C,84,225.0,1963-12-14,Memphis
Hank Beenders,C-F,78,185.0,1916-06-02,Long Island University
Ron Behagen,F-C,81,185.0,1951-01-14,Minnesota
Elmer Behnke,C,79,210.0,1929-02-03,Bradley
Marco Belinelli,G-F,77,220.0,1986-03-25,
Charlie Bell,G,75,200.0,1979-03-12,Michigan State
Dennis Bell,F,77,185.0,1951-06-02,Drake University
Jordan Bell,F,80,216.0,1995-01-07,Oregon
Raja Bell,G,77,204.0,1976-09-19,Boston University Florida International University
Troy Bell,G,73,180.0,1980-11-10,Boston College
Whitey Bell,G,72,180.0,1932-09-13,NC State
Walt Bellamy*,C,83,225.0,1939-07-24,Indiana
DeAndre' Bembry,F,77,210.0,1994-07-04,Saint Joseph's
Irv Bemoras,F-G,75,185.0,1930-11-18,Illinois
Leon Benbow,G,76,185.0,1950-07-23,Jacksonville University
Dragan Bender,F,84,225.0,1997-11-17,
Jonathan Bender,F,83,202.0,1981-01-30,
Jerrelle Benimon,F,80,245.0,1991-08-01,Georgetown Towson University
Benoit Benjamin,C,84,250.0,1964-11-22,Creighton
Corey Benjamin,G,78,200.0,1978-02-24,Oregon State
Anthony Bennett,F,80,245.0,1993-03-14,UNLV
Elmer Bennett,G,72,170.0,1970-02-13,Notre Dame
Mario Bennett,F,78,235.0,1973-08-01,Arizona State
Mel Bennett,F,79,200.0,1955-01-04,Pitt
Spider Bennett,G,75,190.0,1943-08-04,Winston-Salem State
Tony Bennett,G,72,175.0,1969-06-01,Green Bay
Winston Bennett,F,79,210.0,1965-02-09,Kentucky
David Benoit,F,80,220.0,1968-05-09,Alabama
Keith Benson,C,83,240.0,1988-08-13,Oakland
Kent Benson,C,82,235.0,1954-12-27,Indiana
Ben Bentil,F,81,235.0,1995-03-29,Providence
Gene Berce,G-F,71,175.0,1926-11-22,Marquette
Gary Bergen,C,80,210.0,1932-07-16,Utah
Larry Bergh,F,80,210.0,1945-04-02,Weber State
Ricky Berry,F,80,205.0,1964-10-06,Oregon State San Jose State
Walter Berry,F,80,215.0,1964-05-14,St. John's
Dairis Bert?ns,G,76,200.0,1989-09-09,
D?vis Bert?ns,F,82,225.0,1992-11-12,
Del Beshore,G,71,165.0,1956-11-29,California University of Pennslyvania
Travis Best,G,71,182.0,1972-07-12,Georgia Tech
Patrick Beverley,G,73,180.0,1988-07-12,Arkansas
Saddiq Bey,F,79,215.0,1999-04-09,Villanova
Tyler Bey,F,79,215.0,1998-02-10,Colorado
Sim Bhullar,C,89,360.0,1992-12-02,New Mexico State
Wesley Bialosuknia,G,74,185.0,1945-06-08,UConn
Al Bianchi,G,75,185.0,1932-03-26,Bowling Green
Hank Biasatti,G,71,175.0,1922-01-14,Long Island University
Henry Bibby,G,73,185.0,1949-11-24,UCLA
Mike Bibby,G,73,190.0,1978-05-13,Arizona
Ed Biedenbach,G,73,175.0,1945-08-12,NC State
Andris Biedri?š,C,83,240.0,1986-04-02,
Don Bielke,C,79,240.0,1932-05-10,Valparaiso
Bob Bigelow,F-G,79,215.0,1953-12-26,Penn
Lionel Billingy,F-C,81,215.0,1952-08-31,Duquesne
Chauncey Billups,G,75,202.0,1976-09-25,Colorado
Dave Bing*,G,75,180.0,1943-11-24,Syracuse
Joe Binion,F,80,235.0,1961-03-26,North Carolina A&T
Khem Birch,C-F,81,233.0,1992-09-28,Pitt UNLV
Jabari Bird,G,78,198.0,1994-07-03,California
Jerry Bird,F,78,210.0,1935-02-02,Kentucky
Larry Bird*,F,81,220.0,1956-12-07,Indiana State University
Otis Birdsong,G,75,190.0,1955-12-09,Houston
Gale Bishop,F,75,195.0,1922-06-04,Washington State
Goga Bitadze,C,83,250.0,1999-07-20,
Bismack Biyombo,C-F,80,255.0,1992-08-28,
Nemanja Bjelica,F,82,234.0,1988-05-09,
Uwe Blab,C,85,252.0,1962-03-26,Indiana
Charlie Black,F-C,77,200.0,1921-06-15,Kansas
Norman Black,G,77,185.0,1957-11-12,Saint Joseph's
Tarik Black,C-F,81,250.0,1991-11-22,Memphis Kansas
Tom Black,C,82,220.0,1941-07-09,South Dakota State
Rolando Blackman,G,78,190.0,1959-02-26,Kansas State
Alex Blackwell,F,78,250.0,1970-06-27,Monmouth University
Cory Blackwell,F,78,210.0,1963-03-27,Wisconsin
James Blackwell,G,72,190.0,1968-02-25,Dartmouth College
Nate Blackwell,G,76,170.0,1965-02-15,Temple
DeJuan Blair,F-C,79,270.0,1989-04-22,Pitt
Steve Blake,G,75,172.0,1980-02-26,Maryland
Antonio Blakeney,G,76,192.0,1996-10-04,LSU
Will Blalock,G,72,205.0,1983-09-08,Iowa State
George Blaney,G,73,175.0,1939-11-12,Holy Cross
Lance Blanks,G,76,190.0,1966-09-09,Virginia Texas
Ricky Blanton,F,79,215.0,1966-04-21,LSU
Andray Blatche,F,83,235.0,1986-08-22,
Mookie Blaylock,G,72,180.0,1967-03-20,Midland College Oklahoma
Eric Bledsoe,G,73,214.0,1989-12-09,Kentucky
Keljin Blevins,F,76,200.0,1995-11-24,Southern Miss Montana State
Leon Blevins,G,74,160.0,1926-06-25,Arizona
John Block,F-C,81,207.0,1944-04-16,USC
Mike Bloom,F-C,78,190.0,1915-01-14,Temple
Jaron Blossomgame,F,80,220.0,1993-09-16,Clemson
Corie Blount,F,81,240.0,1969-01-04,Cincinnati
Mark Blount,C,84,230.0,1975-11-30,Pitt
Vander Blue,G,76,200.0,1992-07-17,Marquette
Ray Blume,G,76,185.0,1958-09-23,Oregon State
Nelson Bobb,G,72,170.0,1924-02-25,Temple
Tony Bobbitt,G,76,190.0,1979-10-22,Cincinnati
Bucky Bockhorn,G,76,200.0,1933-07-08,Dayton
Tom Boerwinkle,C,84,265.0,1945-08-23,Tennessee
Keith Bogans,G-F,77,215.0,1980-05-12,Kentucky
Bogdan Bogdanovi?,G,78,220.0,1992-08-18,
Bojan Bogdanovi?,G-F,79,226.0,1989-04-18,
Muggsy Bogues,G,63,136.0,1965-01-09,Wake Forest
Andrew Bogut,C,84,260.0,1984-11-28,Utah
Etdrick Bohannon,F,81,220.0,1973-05-29,Arizona Tennessee Auburn University at Montgomery
Bol Bol,F-C,86,220.0,1999-11-16,Oregon
Manute Bol,C,91,200.0,1962-10-16,University of Bridgeport
Jonah Bolden,F,80,220.0,1996-01-02,UCLA
Marques Bolden,C,82,249.0,1998-04-17,Duke
Bill Bolger,F,77,205.0,1931-08-21,Georgetown
Leandro Bolmaro,F,78,200.0,2000-09-11,
Joel Bolomboy,F,81,235.0,1994-01-28,Weber State
Doug Bolstorff,G,76,195.0,1931-10-29,Minnesota
George Bon Salle,F,80,220.0,1935-07-01,Illinois
Phil Bond,G,74,175.0,1954-07-27,Louisville
Walter Bond,G,77,200.0,1969-02-01,Minnesota
Jordan Bone,G,74,180.0,1997-11-05,Tennessee
Dexter Boney,G,76,185.0,1970-04-27,UNLV
Isaac Bonga,G,80,180.0,1999-11-08,
Ron Bonham,F,77,192.0,1942-05-31,Cincinnati
Anthony Bonner,F,80,215.0,1968-06-08,Saint Louis
Matt Bonner,F,82,235.0,1980-04-05,Florida
Butch Booker,C,82,230.0,1945-07-20,Cheyney (PA)
Devin Booker,G,77,206.0,1996-10-30,Kentucky
Melvin Booker,G,73,185.0,1972-08-20,Missouri
Trevor Booker,F,80,228.0,1987-11-25,Clemson
Josh Boone,F-C,82,237.0,1984-11-21,UConn
Ron Boone,G-F,74,200.0,1946-09-06,Idaho State University
Calvin Booth,C,83,230.0,1976-05-07,Penn State
Keith Booth,F,78,226.0,1974-10-09,Maryland
Bob Boozer,F,80,215.0,1937-04-26,Kansas State
Carlos Boozer,F-C,81,258.0,1981-11-20,Duke
Curtis Borchardt,C,84,240.0,1980-09-13,Stanford
Jake Bornheimer,F-C,77,200.0,1927-06-29,Muhlenberg College
Lazaro Borrell,F,80,220.0,1972-09-20,
Ike Borsavage,C-F,80,220.0,1924-07-25,Temple
Vince Boryla,F,77,210.0,1927-03-11,Denver
Chris Bosh*,F-C,83,235.0,1984-03-24,Georgia Tech
Jim Bostic,F,79,225.0,1953-01-28,New Mexico State
Brandon Boston Jr.,G-F,79,185.0,2001-11-28,Kentucky
Lawrence Boston,F,80,225.0,1956-05-18,Vincennes University Maryland
Tom Boswell,F-C,81,220.0,1953-10-02,South Carolina State South Carolina
Chris Boucher,F,81,200.0,1993-01-11,Oregon
James Bouknight,G,77,190.0,2000-09-18,UConn
Ruben Boumtje-Boumtje,C,84,257.0,1978-05-20,Georgetown
Don Boven,F-G,76,210.0,1925-03-06,Western Michigan
Cal Bowdler,F,82,245.0,1977-03-31,Old Dominion
Brian Bowen,F,78,190.0,1998-10-02,
Bruce Bowen,F,79,185.0,1971-06-14,Cal State Fullerton
Ryan Bowen,F,79,215.0,1975-11-20,Iowa
Tommie Bowens,F-C,80,220.0,1940-07-07,Grambling State University
Anthony Bowie,G-F,78,190.0,1963-11-09,Oklahoma
Sam Bowie,C-F,85,235.0,1961-03-17,Kentucky
Orbie Bowling,C,82,215.0,1939-03-21,Tennessee
Ira Bowman,G,77,195.0,1973-06-11,Providence Penn
Ky Bowman,G,73,187.0,1997-06-16,Boston College
Nate Bowman,C,82,230.0,1943-03-19,Wichita State
Donnie Boyce,G,77,196.0,1973-09-02,Colorado
Dennis Boyd,G,73,175.0,1954-05-21,Detroit Mercy
Freddie Boyd,G,74,180.0,1950-06-13,Oregon State
Ken Boyd,F,77,195.0,1952-03-25,Boston University
Earl Boykins,G,65,135.0,1976-06-02,Eastern Michigan
Harry Boykoff,C,82,225.0,1922-07-24,St. John's
Winford Boynes,G-F,78,185.0,1957-05-17,San Francisco
Cedric Bozeman,G,78,207.0,1983-03-07,UCLA
Steve Bracey,G,73,175.0,1950-08-01,Tulsa
Craig Brackins,F,82,230.0,1987-10-09,Iowa State
Gary Bradds,F,80,210.0,1942-07-26,Ohio State
Alex Bradley,F,78,215.0,1959-10-30,Villanova
Alonzo Bradley,F,78,190.0,1953-10-16,Texas Southern
Avery Bradley,G,75,180.0,1990-11-26,Texas
Bill Bradley,G,71,165.0,1941-06-16,
